0 0 1 0 0 0 -nan -nan
105 227 100 165 26 139 31.626506 15.757576
105 228 100 165 26 139 31.531532 15.757576
106 228 100 165 26 139 31.736527 15.757576
106 228 100 166 26 140 31.736527 15.662651
106 228 100 167 26 141 31.736527 15.568862
107 228 100 167 26 141 31.940299 15.568862
107 229 100 167 26 141 31.845238 15.568862
107 229 101 167 26 141 31.845238 15.568862
107 229 101 168 26 142 31.845238 15.476190
108 229 101 168 26 142 32.047478 15.476190
108 229 101 169 26 143 32.047478 15.384615
109 229 101 169 26 143 32.248521 15.384615
109 230 101 169 26 143 32.153392 15.384615
109 230 101 170 26 144 32.153392 15.294118
110 230 101 170 26 144 32.352941 15.294118
110 230 101 171 26 145 32.352941 15.204678
111 230 101 171 26 145 32.551320 15.204678
111 230 102 171 26 145 32.551320 15.204678
111 230 103 171 26 145 32.551320 15.204678
111 231 103 171 26 145 32.456140 15.204678
111 231 103 172 26 146 32.456140 15.116279
112 231 103 172 26 146 32.653061 15.116279
112 231 104 172 26 146 32.653061 15.116279
112 231 104 173 26 147 32.653061 15.028902
112 231 104 174 26 148 32.653061 14.942529
112 232 104 174 26 148 32.558140 14.942529
112 232 104 175 26 149 32.558140 14.857143
112 232 104 176 26 150 32.558140 14.772727
112 233 104 176 26 150 32.463768 14.772727
112 233 104 177 26 151 32.463768 14.689266
113 233 104 177 26 151 32.658960 14.689266
113 234 104 177 26 151 32.564841 14.689266
113 234 105 177 26 151 32.564841 14.689266
114 234 105 177 26 151 32.758621 14.689266
114 235 105 177 26 151 32.664756 14.689266
115 235 105 177 26 151 32.857143 14.689266
115 236 105 177 26 151 32.763533 14.689266
